anomaly_type,競馬場,競走年月日,レース番号,detail
PAYBACK_MULTIROW,佐賀,20200105,7,source_rows=2
PAYBACK_MULTIROW,佐賀,20200405,10,source_rows=2
PAYBACK_MULTIROW,佐賀,20200418,4,source_rows=2
PAYBACK_MULTIROW,佐賀,20200502,8,source_rows=2
PAYBACK_MULTIROW,佐賀,20200516,6,source_rows=2
PAYBACK_MULTIROW,佐賀,20200607,4,source_rows=2
PAYBACK_MULTIROW,佐賀,20201206,4,source_rows=2
PAYBACK_MULTIROW,佐賀,20210131,4,source_rows=2
PAYBACK_MULTIROW,佐賀,20210320,6,source_rows=2
PAYBACK_MULTIROW,佐賀,20210905,9,source_rows=2
PAYBACK_MULTIROW,佐賀,20210926,5,source_rows=2
PAYBACK_MULTIROW,佐賀,20211003,6,source_rows=2
